,Name,Faction,Comittee,Comission
144,В.В.Зубарев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
145,Г.А.Зюганов,КПРФ,"Комитет Государственной Думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками",
146,О.И.Иванинский,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по охране здоровья,
147,В.В.Иванов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по промышленности и торговле,
148,М.А.Иванов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по аграрным вопросам,
149,М.Е.Иванов,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
150,Н.Н.Иванов,КПРФ,"Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам контроля за достоверностью сведений о доходах, об имуществе и обязательствах имущественного характера, представляемых депутатами Государственной Думы и мандатным вопросам",
151,Б.В.Иванюженков,КПРФ,Комитет Государственной Думы по физической культуре и спорту,
152,И.В.Ивенских,ЕДИНАЯ РОССИЯ,,
153,Л.Г.Ивлев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по контролю,
154,В.А.Игнатов,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",
155,И.Н.Игошин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по защите конкуренции,
156,В.А.Ильиных,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по развитию Дальнего Востока и Арктики,
157,А.В.Ильтяков,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",
158,А.К.Исаев,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",
159,В.П.Исаков,КПРФ,Комитет Государственной Думы по молодежной политике,
160,Д.В.Исламов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по энергетике,
161,С.В.Кабышев,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,,
162,А.А.Кавинов,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками",
163,Д.М.Каденков,ЕДИНАЯ РОССИЯ,,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по Регламенту и обеспечению деятельности Государственной Думы ']
164,В.А.Казаков,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по экономической политике,
165,О.М.Казакова,ЕДИНАЯ РОССИЯ,,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']
166,С.И.Казанков,КПРФ,Комитет Государственной Думы по малому и среднему предпринимательству,
167,Л.И.Калашников,КПРФ,"Комитет Государственной Думы по делам Содружества Независимых Государств, евразийской интеграции и связям с соотечественниками",
168,Р.Г.Калимуллин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по физической культуре и спорту,
169,Г.П.Камнев,КПРФ,Комитет Государственной Думы по контролю,
170,А.В.Канаев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по промышленности и торговле,
171,Т.Б.Каноков,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,Комитет Государственной Думы по малому и среднему предпринимательству,
172,Ш.В.Кара-оол,ЕДИНАЯ РОССИЯ,,
173,С.Г.Каргинов,ЛДПР,"Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам контроля за достоверностью сведений о доходах, об имуществе и обязательствах имущественного характера, представляемых депутатами Государственной Думы и мандатным вопросам",
174,Г.А.Карлов,ЕДИНАЯ РОССИЯ,,
175,Р.В.Кармазина,ЕДИНАЯ РОССИЯ,,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по Регламенту и обеспечению деятельности Государственной Думы ']
176,А.Е.Карпов,ЕДИНАЯ РОССИЯ,,
177,А.В.Картаполов,ЕДИНАЯ РОССИЯ,,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
178,И.Ю.Кастюкевич,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по молодежной политике,
179,П.Р.Качкаев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,
180,В.И.Кашин,КПРФ,Комитет Государственной Думы по аграрным вопросам,
181,И.И.Квитка,ЕДИНАЯ РОССИЯ,,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
182,В.Б.Кидяев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по экономической политике,
183,М.В.Кизеев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по охране здоровья,
184,А.Ю.Кирьянов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по экономической политике,
185,М.С.Киселёв,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по молодежной политике,
186,М.Л.Кисляков,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по региональной политике и местному самоуправлению,
187,Д.Н.Кобылкин,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
188,Л.И.Ковпак,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
189,А.Б.Коган,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
190,А.Г.Когогина,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по малому и среднему предпринимательству,
191,А.Н.Козловский,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по промышленности и торговле,
192,А.И.Колесник,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
193,О.А.Колесников,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по защите конкуренции,
194,Н.В.Коломейцев,КПРФ,"Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам контроля за достоверностью сведений о доходах, об имуществе и обязательствах имущественного характера, представляемых депутатами Государственной Думы и мандатным вопросам",['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']
195,С.В.Колунов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,
196,Б.О.Комоцкий,КПРФ,Комитет Государственной Думы по развитию Дальнего Востока и Арктики,
197,В.М.Кононов,ЕДИНАЯ РОССИЯ,,
198,А.В.Корниенко,КПРФ,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",
199,О.В.Коробова,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по вопросам семьи, женщин и детей",
200,Н.В.Костенко,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по туризму и развитию туристической инфраструктуры,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
201,С.Н.Коткин,ЕДИНАЯ РОССИЯ,,
202,Р.И.Кочиев,КПРФ,Комитет Государственной Думы по безопасности и противодействию коррупции,
203,В.А.Кошелев,ЛДПР,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
204,Д.Б.Кравченко,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по экономической политике,
205,А.А.Красноштанов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
206,А.Л.Красов,ЕДИНАЯ РОССИЯ,,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ', 'Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
207,П.В.Крашенинников,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по государственному строительству и законодательству,
208,С.В.Кривоносов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по туризму и развитию туристической инфраструктуры,
209,А.А.Кузнецов,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по Регламенту и обеспечению деятельности Государственной Думы ']
210,Д.В.Кузнецов,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,Комитет Государственной Думы по культуре,
211,Э.А.Кузнецов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по экономической политике,
212,А.Ю.Кузнецова,ЕДИНАЯ РОССИЯ,,
213,М.В.Кузьмин,ЕДИНАЯ РОССИЯ,,
214,В.В.Кумин,КПРФ,Комитет Государственной Думы по финансовому рынку,
215,Р.Д.Курбанов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по безопасности и противодействию коррупции,
216,А.В.Куринный,КПРФ,Комитет Государственной Думы по охране здоровья,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
217,Т.А.Кусайко,ЕДИНАЯ РОССИЯ,,
218,В.В.Кушнарев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,
219,А.Ф.Лавриненко,ЕДИНАЯ РОССИЯ,"Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам контроля за достоверностью сведений о доходах, об имуществе и обязательствах имущественного характера, представляемых депутатами Государственной Думы и мандатным вопросам",
220,Д.В.Ламейкин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по контролю,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
221,Я.В.Лантратова,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по расследованию фактов вмешательства иностранных государств во внутренние дела России ', 'Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']"
222,Т.П.Ларионова,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по вопросам семьи, женщин и детей",
223,Е.В.Лебедев,ЕДИНАЯ РОССИЯ,,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
224,О.А.Лебедев,КПРФ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
225,С.Г.Левченко,КПРФ,Комитет Государственной Думы по энергетике,
226,О.Ю.Леонов,НОВЫЕ ЛЮДИ,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",
227,С.Д.Леонов,ЛДПР,Комитет Государственной Думы по охране здоровья,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по расследованию фактов вмешательства иностранных государств во внутренние дела России ', 'Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']"
228,А.Ф.Лесун,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
229,Р.А.Лечхаджиев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
230,А.И.Лисицын,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,"Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам контроля за достоверностью сведений о доходах, об имуществе и обязательствах имущественного характера, представляемых депутатами Государственной Думы и мандатным вопросам",['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
231,С.Ф.Лисовский,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по аграрным вопросам,
232,В.В.Лихачев,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
233,Т.Г.Лобач,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по туризму и развитию туристической инфраструктуры,
234,В.Ю.Логинов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по развитию Дальнего Востока и Арктики,
235,И.И.Лоор,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по аграрным вопросам,
236,Д.Н.Лоцманов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по аграрным вопросам,
237,А.К.Луговой,ЛДПР,Комитет Государственной Думы по безопасности и противодействию коррупции,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по расследованию фактов вмешательства иностранных государств во внутренние дела России ', 'Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
238,Р.В.Любарский,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по региональной политике и местному самоуправлению,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
239,Р.М.Лябихов,КПРФ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
240,А.Г.Мажуга,ЕДИНАЯ РОССИЯ,,
241,Д.В.Майданов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по культуре,
242,А.М.Макаров,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
243,В.С.Макаров,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по финансовому рынку,
244,З.Г.Макиев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по малому и среднему предпринимательству,
245,А.А.Максимов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по промышленности и торговле,
246,Р.М.Марданшин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
247,А.П.Марков,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по туризму и развитию туристической инфраструктуры,
248,Е.В.Марков,ЛДПР,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
249,В.М.Мархаев,КПРФ,Комитет Государственной Думы по государственному строительству и законодательству,
250,Е.Е.Марченко,"Депутаты, не входящие во фракции",Комитет Государственной Думы по безопасности и противодействию коррупции,
251,М.Н.Матвеев,КПРФ,Комитет Государственной Думы по региональной политике и местному самоуправлению,
252,О.А.Матвейчев,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",['Комиссия Государственной Думы Федерального Собрания Российской Федерации по расследованию фактов вмешательства иностранных государств во внутренние дела России ']
253,И.И.Мельников,КПРФ,,
254,А.П.Метелев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по молодежной политике,
255,А.Р.Метшин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по защите конкуренции,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
256,В.В.Милонов,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по вопросам семьи, женщин и детей",
257,С.М.Миронов,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,,
258,О.А.Михайлов,КПРФ,"Комитет Государственной Думы по экологии, природным ресурсам и охране окружающей среды",
259,О.В.Морозов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по контролю,
260,С.И.Морозов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по региональной политике и местному самоуправлению,
261,Е.С.Москвичев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по транспорту и развитию транспортной инфраструктуры,
262,И.М.Мусатов,ЛДПР,Комитет Государственной Думы по культуре,
263,З.А.Муцоев,ЕДИНАЯ РОССИЯ,,
264,Н.В.Назарова,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по энергетике,
265,Ю.А.Напсо,ЛДПР,Комитет Государственной Думы по государственному строительству и законодательству,
266,С.А.Наумов,ЛДПР,Комитет Государственной Думы по экономической политике,
267,С.И.Неверов,ЕДИНАЯ РОССИЯ,,
268,А.И.Немкин,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",
269,А.Г.Нечаев,НОВЫЕ ЛЮДИ,,
270,Н.П.Николаев,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по вопросам собственности, земельным и имущественным отношениям",
271,В.В.Николаева,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по безопасности и противодействию коррупции,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
272,В.А.Никонов,ЕДИНАЯ РОССИЯ,,
273,О.А.Нилов,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,"Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам контроля за достоверностью сведений о доходах, об имуществе и обязательствах имущественного характера, представляемых депутатами Государственной Думы и мандатным вопросам",
274,Я.Е.Нилов,ЛДПР,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",['Комиссия Государственной Думы Федерального Собрания Российской Федерации по вопросам депутатской этики ']
275,Е.О.Нифантьев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по промышленности и торговле,
276,В.М.Новиков,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по развитию Дальнего Востока и Арктики,
277,Д.Г.Новиков,КПРФ,,
278,Н.В.Новичков,СПРАВЕДЛИВАЯ РОССИЯ – ЗА ПРАВДУ,Комитет Государственной Думы по развитию Дальнего Востока и Арктики,
279,Н.М.Нурбагандов,ЕДИНАЯ РОССИЯ,,
280,М.А.Нуриев,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,['Комиссия Государственной Думы Федерального Собрания Российской Федерации по обеспечению жилищных прав граждан ']
281,С.П.Обухов,КПРФ,"Комитет Государственной Думы по развитию гражданского общества, вопросам общественных и религиозных объединений",
282,Ю.В.Оглоблина,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по аграрным вопросам,
283,Л.А.Огуль,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по охране здоровья,
284,М.Э.Оргеева,ЕДИНАЯ РОССИЯ,"Комитет Государственной Думы по труду, социальной политике и делам ветеранов",
285,Н.А.Орлова,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по бюджету и налогам,
286,Н.И.Осадчий,КПРФ,Комитет Государственной Думы по охране здоровья,
287,Н.А.Останина,КПРФ,"Комитет Государственной Думы по вопросам семьи, женщин и детей",
288,В.В.Павлов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по промышленности и торговле,
289,Б.Р.Пайкин,ЛДПР,Комитет Государственной Думы по физической культуре и спорту,
290,К.М.Панеш,ЛДПР,Комитет Государственной Думы по бюджету и налогам,"['Комиссия Государственной Думы Федерального Собрания Российской Федерации по рассмотрению расходов федерального бюджета, направленных на обеспечение национальной обороны, национальной безопасности и правоохранительной деятельности ']"
291,Г.О.Панин,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по региональной политике и местному самоуправлению,
292,Н.В.Панков,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по аграрным вопросам,
293,С.М.Пантелеев,КПРФ,Комитет Государственной Думы по промышленности и торговле,
294,И.А.Панькина,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по государственному строительству и законодательству,
295,Д.А.Парфенов,КПРФ,Комитет Государственной Думы по бюджету и налогам,
296,С.А.Пахомов,ЕДИНАЯ РОССИЯ,Комитет Государственной Думы по строительству и жилищно-коммунальному хозяйству,
